query_id,category_l1,category_l2,query_type,Query_EN,Query_IT,Query_DE
q6ed227080,Electronics,tripod,generic,tripod,treppiede,Stativ
q6b469c3a2,Home & Garden,monitor arm,generic,where to buy monitor arm,dove comprare braccio per monitor,wo Monitorhalterung kaufen
q100782f20,Apparel & Accessories,boots,generic,boots deals,stivali occasioni,Stiefel schnäppchen
q9dba5c2ab,Sporting Goods,stand up paddle,generic,stand up paddle review,recensione stand up paddle,Stand-Up-Paddle test
q9e63da3af,Electronics,streaming device,generic,where to buy streaming device,dove comprare dispositivo streaming,wo Streaming-Gerät kaufen
q6495827a6,Sporting Goods,ski helmet,generic,ski helmet under 500,casco da sci sotto 500 euro,Skihelm unter 500 euro
qef6905764,Home & Garden,food processor,generic,where to buy food processor,dove comprare robot da cucina,wo Küchenmaschine kaufen
qbe38461d0,Electronics,monitor,branded,Dell UltraSharp U2722D review,Dell UltraSharp U2722D recensione,Dell UltraSharp U2722D test
q217fb6a06,Baby & Kids,LEGO,generic,LEGO,LEGO,LEGO
q7074dfb26,Apparel & Accessories,sneakers,generic,compare sneakers,confronta sneakers,Sneaker vergleich
q9d8f779cb,Apparel & Accessories,running shoes,branded,Nike Mercurial Superfly price,Nike Mercurial Superfly prezzo,Nike Mercurial Superfly preis
q222794509,Electronics,vinyl record player,generic,vinyl record player under 100,giradischi sotto 100 euro,Plattenspieler unter 100 euro
q1f1d0ce51,Electronics,laptop,generic,best laptop,migliori laptop,bestes Laptop
qac311591d,Electronics,DSLR camera,generic,DSLR camera specs,specifiche reflex digitale,Spiegelreflexkamera technische daten
q17f8eb5ec,Sporting Goods,kettlebell,generic,kettlebell 2024,kettlebell 2024,Kettlebell 2024
q16306042b,Sporting Goods,ski boots,generic,ski boots online,scarponi da sci online,Skischuhe online
q390d96185,Home & Garden,capsule coffee machine,branded,Nespresso Vertuo Next review,Nespresso Vertuo Next recensione,Nespresso Vertuo Next test
q03adc8751,Electronics,gaming laptop,branded,Acer Predator Helios 300 price,Acer Predator Helios 300 prezzo,Acer Predator Helios 300 preis
q450d1ec2b,Electronics,earbuds,branded,OnePlus Buds 3 review,OnePlus Buds 3 recensione,OnePlus Buds 3 test
qb318f929f,Home & Garden,smart lighting,generic,smart lighting under 500,illuminazione smart sotto 500 euro,Smarte Beleuchtung unter 500 euro
qa594a26d5,Home & Garden,stand mixer,generic,stand mixer specs,specifiche impastatrice,Küchenmaschine technische daten
qe7b850b00,Sporting Goods,sleeping bag,generic,sleeping bag under 100,sacco a pelo sotto 100 euro,Schlafsack unter 100 euro
q3d0868ec3,Electronics,action camera,generic,best value action camera,action camera miglior rapporto qualità prezzo,bestes preis-leistungs Action-Kamera
qe5b5b70a3,Electronics,laptop,branded,HP Spectre x360 review,HP Spectre x360 recensione,HP Spectre x360 test
q07ce91f0a,Sporting Goods,sports nutrition,generic,compare sports nutrition,confronta nutrizione sportiva,Sportnahrung vergleich
qfcc6c93b2,Apparel & Accessories,cycling shoes,generic,cycling shoes under 100,scarpe da ciclismo sotto 100 euro,Radschuhe unter 100 euro
q266f0662a,Electronics,tablet,generic,best value tablet,tablet miglior rapporto qualità prezzo,bestes preis-leistungs Tablet
q9f0480528,Sporting Goods,dumbbell set,generic,dumbbell set rating,valutazione set manubri,Hantelset bewertung
q5fd4aa32e,Home & Garden,electric toothbrush,generic,electric toothbrush amazon,spazzolino elettrico amazon,Elektrische Zahnbürste amazon
qd05924d44,Electronics,instant camera,generic,instant camera price,prezzo fotocamera istantanea,Sofortbildkamera preis
q7f902538a,Home & Garden,air purifier,generic,air purifier,purificatore d'aria,Luftreiniger
q6acc83067,Apparel & Accessories,hiking boots,branded,Scarpa Zodiac Plus GTX review,Scarpa Zodiac Plus GTX recensione,Scarpa Zodiac Plus GTX test
q7f4d2d130,Apparel & Accessories,sport shorts,generic,sport shorts,pantaloncini sportivi,Sporthose
q257ec2f7e,Home & Garden,standing desk,generic,buy standing desk online,comprare scrivania regolabile online,Höhenverstellbarer Schreibtisch online kaufen
q02e6abe97,Baby & Kids,baby stroller,generic,compare baby stroller,confronta passeggino,Kinderwagen vergleich
qf320ffa90,Electronics,OLED television,generic,OLED television price,prezzo televisore OLED,OLED-Fernseher preis
q14dbc072a,Electronics,soundbar,branded,Sony HT-A7000 offers,Sony HT-A7000 offerte,Sony HT-A7000 angebote
q2b5cf711a,Electronics,gaming controller,generic,gaming controller online,controller gaming online,Gaming-Controller online
q5eb641fd7,Electronics,memory card,generic,memory card,scheda di memoria,Speicherkarte
q57508d087,Apparel & Accessories,backpack,generic,backpack price,prezzo zaino,Rucksack preis
q6895a6045,Apparel & Accessories,running shoes,branded,New Balance Fresh Foam 1080,New Balance Fresh Foam 1080,New Balance Fresh Foam 1080
q2bf59101a,Electronics,gaming laptop,generic,gaming laptop sale,laptop da gaming saldi,Gaming-Laptop sale
q5b37556af,Apparel & Accessories,rain jacket,generic,rain jacket online,giacca impermeabile online,Regenjacke online
q42c95c84e,Apparel & Accessories,running shoes,branded,Nike Invincible 3,Nike Invincible 3,Nike Invincible 3
q7d38eea7c,Electronics,tripod,generic,best tripod,migliori treppiede,bestes Stativ
q672243b43,Beauty & Personal Care,nail polish,generic,nail polish review,recensione smalto per unghie,Nagellack test
q6abcf8ab8,Electronics,DAC amplifier,generic,buy DAC amplifier,acquista DAC amplificatore,DAC Verstärker kaufen
qd9471fde4,Electronics,gaming desk,generic,gaming desk sale,scrivania gaming saldi,Gaming-Schreibtisch sale
qcdae20a5d,Electronics,action camera,generic,best action camera,migliori action camera,bestes Action-Kamera
q0002b4c1f,Electronics,memory card,generic,memory card rating,valutazione scheda di memoria,Speicherkarte bewertung
q2115391df,Electronics,OLED television,branded,Samsung S90C OLED review,Samsung S90C OLED recensione,Samsung S90C OLED test
qa42799720,Electronics,gaming headset,generic,buy gaming headset,acquista headset gaming,Gaming-Headset kaufen
q8c1f074c2,Electronics,camera bag,generic,buy camera bag online,comprare borsa per fotocamera online,Kameratasche online kaufen
qbc8bf0e6f,Electronics,streaming device,branded,Amazon Fire TV Stick 4K,Amazon Fire TV Stick 4K,Amazon Fire TV Stick 4K
q6f76cadbb,Electronics,DAC amplifier,generic,DAC amplifier under 500,DAC amplificatore sotto 500 euro,DAC Verstärker unter 500 euro
qdcc0212c3,Sporting Goods,road bike,branded,Canyon Endurace CF SL offers,Canyon Endurace CF SL offerte,Canyon Endurace CF SL angebote
q7b26b1dca,Electronics,ultrabook,generic,ultrabook specs,specifiche ultrabook,Ultrabook technische daten
qd242c552a,Sporting Goods,kettlebell,generic,buy kettlebell online,comprare kettlebell online,Kettlebell online kaufen
q098d51ea0,Electronics,gaming monitor,branded,LG UltraGear 27GP850 price,LG UltraGear 27GP850 prezzo,LG UltraGear 27GP850 preis
q71d50f1ae,Sporting Goods,dumbbell set,generic,where to buy dumbbell set,dove comprare set manubri,wo Hantelset kaufen
q97c80b468,Apparel & Accessories,compression socks,generic,compression socks deals,calze a compressione occasioni,Kompressionssocken schnäppchen
qe3286b832,Sporting Goods,badminton racket,generic,best badminton racket,migliori racchetta da badminton,bestes Badmintonschläger
q3a54604d5,Electronics,gaming mouse,branded,Steelseries Aerox 5 review,Steelseries Aerox 5 recensione,Steelseries Aerox 5 test
qece80e938,Home & Garden,standing desk,branded,Jarvis Standing Desk offers,Jarvis Standing Desk offerte,Jarvis Standing Desk angebote
q53d87c364,Home & Garden,office chair,branded,ErgoChair Pro+ review,ErgoChair Pro+ recensione,ErgoChair Pro+ test
q768e218e2,Apparel & Accessories,running shoes,branded,Adidas Terrex Speed Ultra review,Adidas Terrex Speed Ultra recensione,Adidas Terrex Speed Ultra test
q8f56a79e5,Baby & Kids,children bicycle,generic,children bicycle 2024,bicicletta bambini 2024,Kinderfahrrad 2024
qfb71558fa,Electronics,ultrabook,generic,ultrabook deals,ultrabook occasioni,Ultrabook schnäppchen
q2fdd84665,Electronics,gaming mouse,branded,Razer DeathAdder V3 review,Razer DeathAdder V3 recensione,Razer DeathAdder V3 test
qe85d0a6c1,Home & Garden,vacuum cleaner,branded,buy Miele Complete C3 Brilliant,acquista Miele Complete C3 Brilliant,Miele Complete C3 Brilliant kaufen
qbf1fbeffe,Electronics,drone with camera,branded,DJI Mavic 3 Pro offers,DJI Mavic 3 Pro offerte,DJI Mavic 3 Pro angebote
qcfc7d9a55,Home & Garden,electric toothbrush,branded,Oral-B iO Series 9,Oral-B iO Series 9,Oral-B iO Series 9
qde8bb6f81,Electronics,smartphone,branded,Google Pixel 9 Pro offers,Google Pixel 9 Pro offerte,Google Pixel 9 Pro angebote
qa42623039,Sporting Goods,cycling helmet,generic,cycling helmet review,recensione casco da bici,Fahrradhelm test
q24d978501,Apparel & Accessories,sport leggings,generic,sport leggings under 100,leggings sportivi sotto 100 euro,Sport-Leggings unter 100 euro
q76ab1ee72,Electronics,smartphone,branded,Samsung Galaxy S24 price,Samsung Galaxy S24 prezzo,Samsung Galaxy S24 preis
q78c28a5b6,Sporting Goods,sleeping bag,generic,where to buy sleeping bag,dove comprare sacco a pelo,wo Schlafsack kaufen
q4c69cc5fd,Apparel & Accessories,cycling shoes,generic,best cycling shoes,migliori scarpe da ciclismo,bestes Radschuhe
q6b0c265a8,Sporting Goods,resistance bands,generic,resistance bands,elastici fitness,Fitnessbänder
qf61d00433,Electronics,monitor,branded,LG 27UK850 price,LG 27UK850 prezzo,LG 27UK850 preis
q151c95d1c,Apparel & Accessories,running shoes,branded,New Balance 990v6,New Balance 990v6,New Balance 990v6
qfd52ce7b5,Beauty & Personal Care,sunscreen SPF 50,branded,ISDIN Eryfotona Actinica offers,ISDIN Eryfotona Actinica offerte,ISDIN Eryfotona Actinica angebote
qabb6fa072,Sporting Goods,football,generic,cheap football,pallone da calcio economici,günstiger Fußball
qa2c8841c4,Apparel & Accessories,rain jacket,generic,buy rain jacket online,comprare giacca impermeabile online,Regenjacke online kaufen
qb69a34a7a,Beauty & Personal Care,mascara,generic,buy mascara online,comprare mascara online,Mascara online kaufen
qc0ab0de59,Electronics,soundbar,generic,buy soundbar,acquista soundbar,Soundbar kaufen
q66ef8a597,Apparel & Accessories,winter jacket,branded,buy Patagonia Down Sweater,acquista Patagonia Down Sweater,Patagonia Down Sweater kaufen
q2000ded0b,Home & Garden,electric razor,generic,electric razor professional,rasoio elettrico professionale,professioneller Elektrorasierer
qfeebe731f,Home & Garden,blender,generic,compare blender,confronta frullatore,Mixer vergleich
q5f922d907,Electronics,memory card,generic,buy memory card online,comprare scheda di memoria online,Speicherkarte online kaufen
q9de1a3c02,Apparel & Accessories,tennis shoes,generic,cheap tennis shoes,scarpe da tennis economici,günstiger Tennisschuhe
qff0872c12,Beauty & Personal Care,foundation makeup,generic,best foundation makeup,migliori fondotinta,bestes Foundation
q648b633fc,Home & Garden,capsule coffee machine,generic,capsule coffee machine deals,macchina caffè capsule occasioni,Kapselkaffeemaschine schnäppchen
qff070a4f0,Home & Garden,vacuum cleaner,branded,buy Dyson V15 Detect,acquista Dyson V15 Detect,Dyson V15 Detect kaufen
qa93b48e01,Electronics,gaming desk,generic,gaming desk amazon,scrivania gaming amazon,Gaming-Schreibtisch amazon
q39c610276,Baby & Kids,baby carrier,generic,baby carrier deals,marsupio neonato occasioni,Babytrage schnäppchen
q0dc2a76b0,Home & Garden,air purifier,generic,air purifier specs,specifiche purificatore d'aria,Luftreiniger technische daten
qef6c4b9f5,Electronics,tablet,generic,tablet deals,tablet occasioni,Tablet schnäppchen
qfaf9bc2ae,Home & Garden,stand mixer,generic,stand mixer deals,impastatrice occasioni,Küchenmaschine schnäppchen
q31eb7e44e,Sporting Goods,yoga mat,generic,cheap yoga mat,tappetino yoga economici,günstiger Yogamatte
q4da79755e,Apparel & Accessories,sport shorts,generic,sport shorts specs,specifiche pantaloncini sportivi,Sporthose technische daten
q04d260096,Electronics,monitor,generic,best monitor,migliori monitor,bestes Monitor
q6524a3d82,Electronics,wireless headphones,generic,wireless headphones sale,cuffie wireless saldi,Kabellose Kopfhörer sale
q6d5f5fd84,Electronics,soundbar,generic,best soundbar,migliori soundbar,bestes Soundbar
qefde2004a,Electronics,OLED television,branded,Sony Bravia A80L review,Sony Bravia A80L recensione,Sony Bravia A80L test
qe4dc68d82,Electronics,Bluetooth speaker,generic,Bluetooth speaker specs,specifiche speaker Bluetooth,Bluetooth-Lautsprecher technische daten
q2ee2d6356,Electronics,gaming console,generic,gaming console review,recensione console di gioco,Spielkonsole test
qa7c717501,Baby & Kids,LEGO,generic,compare LEGO,confronta LEGO,LEGO vergleich
q446ff8ac0,Home & Garden,robot vacuum cleaner,branded,Roborock S8 Pro Ultra,Roborock S8 Pro Ultra,Roborock S8 Pro Ultra
qfa69dc960,Beauty & Personal Care,nail polish,generic,nail polish rating,valutazione smalto per unghie,Nagellack bewertung
q3345abec1,Home & Garden,coffee machine,generic,compare coffee machine,confronta macchina del caffè,Kaffeemaschine vergleich
q028ec5ba4,Electronics,instant camera,generic,buy instant camera online,comprare fotocamera istantanea online,Sofortbildkamera online kaufen
qd43166843,Sporting Goods,treadmill,generic,treadmill under 500,tapis roulant sotto 500 euro,Laufband unter 500 euro
q77a0fb61b,Sporting Goods,exercise bike,branded,Peloton Bike+ review,Peloton Bike+ recensione,Peloton Bike+ test
qb97403cde,Apparel & Accessories,running shoes,branded,buy New Balance Fresh Foam 1080,acquista New Balance Fresh Foam 1080,New Balance Fresh Foam 1080 kaufen
q93d04422d,Beauty & Personal Care,perfume,branded,buy YSL Black Opium,acquista YSL Black Opium,YSL Black Opium kaufen
q9695a3d17,Beauty & Personal Care,face moisturiser,generic,face moisturiser,crema idratante viso,Gesichtscreme
q34ad69796,Home & Garden,robot vacuum cleaner,generic,robot vacuum cleaner,aspirapolvere robot,Saugroboter
q48cabb110,Baby & Kids,children bicycle,generic,children bicycle offers,offerte bicicletta bambini,Kinderfahrrad angebote
qda80711ea,Electronics,earbuds,branded,Samsung Galaxy Buds 2 Pro price,Samsung Galaxy Buds 2 Pro prezzo,Samsung Galaxy Buds 2 Pro preis
q3833531f1,Electronics,earbuds,branded,Jabra Elite 10,Jabra Elite 10,Jabra Elite 10
qa64b16939,Home & Garden,smart doorbell,branded,buy Google Nest Doorbell,acquista Google Nest Doorbell,Google Nest Doorbell kaufen
q557c8b711,Apparel & Accessories,sports bra,generic,sports bra sale,reggiseno sportivo saldi,Sport-BH sale
q747526b25,Sporting Goods,ski helmet,generic,cheap ski helmet,casco da sci economici,günstiger Skihelm
q92a0268cb,Home & Garden,smart lighting,generic,smart lighting for beginners,illuminazione smart per principianti,Smarte Beleuchtung für anfänger
qc83b869c2,Apparel & Accessories,football boots,generic,where to buy football boots,dove comprare scarpe da calcio,wo Fußballschuhe kaufen
q2a7e47a5d,Electronics,tablet,branded,Lenovo Tab P12 Pro offers,Lenovo Tab P12 Pro offerte,Lenovo Tab P12 Pro angebote
q0acfa56f5,Home & Garden,standing desk,branded,buy Jarvis Standing Desk,acquista Jarvis Standing Desk,Jarvis Standing Desk kaufen
q11f10eda9,Home & Garden,espresso machine,branded,De'Longhi La Specialista review,De'Longhi La Specialista recensione,De'Longhi La Specialista test
qe47cd37fb,Electronics,gaming monitor,generic,gaming monitor specs,specifiche monitor gaming,Gaming-Monitor technische daten
qde8a10d36,Sporting Goods,mountain bike,generic,mountain bike 2024,mountain bike 2024,Mountainbike 2024
q82e5eb570,Electronics,earbuds,branded,buy Nothing Ear 2,acquista Nothing Ear 2,Nothing Ear 2 kaufen
q12ec38a87,Electronics,DSLR camera,generic,DSLR camera rating,valutazione reflex digitale,Spiegelreflexkamera bewertung
qa5f32bf9d,Apparel & Accessories,backpack,generic,backpack for beginners,zaino per principianti,Rucksack für anfänger
q83aad428e,Sporting Goods,heart rate monitor,generic,heart rate monitor under 100,cardiofrequenzimetro sotto 100 euro,Herzfrequenzmesser unter 100 euro
q70aac4bfc,Sporting Goods,football,generic,football amazon,pallone da calcio amazon,Fußball amazon
qa7a07ec97,Electronics,camera lens,branded,Canon RF 50mm f/1.8 STM review,Canon RF 50mm f/1.8 STM recensione,Canon RF 50mm f/1.8 STM test
q72f5154e6,Electronics,power bank,generic,buy power bank online,comprare power bank online,Powerbank online kaufen
q52c048aee,Sporting Goods,kettlebell,generic,kettlebell price,prezzo kettlebell,Kettlebell preis
q7ee6cfa92,Electronics,screen protector,generic,screen protector price,prezzo protezione schermo,Displayschutzfolie preis
q27a82a41e,Sporting Goods,cycling helmet,branded,POC Ventral Air Mips review,POC Ventral Air Mips recensione,POC Ventral Air Mips test
q574fd4aad,Home & Garden,vacuum cleaner,generic,vacuum cleaner professional,aspirapolvere professionale,professioneller Staubsauger
q5bde2acdb,Electronics,smartphone,branded,iPhone 15 review,iPhone 15 recensione,iPhone 15 test
q0f8b09edc,Baby & Kids,car seat,generic,where to buy car seat,dove comprare seggiolino auto,wo Kindersitz kaufen
q8d5967794,Electronics,smartphone,branded,Sony Xperia 1 VI offers,Sony Xperia 1 VI offerte,Sony Xperia 1 VI angebote
qc1b2a36f9,Electronics,business laptop,generic,buy business laptop online,comprare laptop business online,Business-Laptop online kaufen
qc31d4dd01,Beauty & Personal Care,perfume,branded,YSL Black Opium review,YSL Black Opium recensione,YSL Black Opium test
q41b17e37c,Apparel & Accessories,sport leggings,generic,sport leggings professional,leggings sportivi professionale,professioneller Sport-Leggings
q09a476f9c,Home & Garden,smart lighting,generic,smart lighting price,prezzo illuminazione smart,Smarte Beleuchtung preis
qb860e58c3,Sporting Goods,basketball,generic,basketball for beginners,pallone da basket per principianti,Basketball für anfänger
qb99aadc75,Home & Garden,hair dryer,branded,Dyson Supersonic,Dyson Supersonic,Dyson Supersonic
qcba31e901,Electronics,home cinema system,generic,home cinema system under 100,sistema home cinema sotto 100 euro,Heimkinosystem unter 100 euro
q95b54b412,Electronics,iPad,generic,iPad price,prezzo iPad,iPad preis
qb41184f3f,Electronics,DSLR camera,generic,DSLR camera 2024,reflex digitale 2024,Spiegelreflexkamera 2024
qdaaff8277,Sporting Goods,exercise bike,generic,compare exercise bike,confronta cyclette,Heimtrainer vergleich
q73b667221,Electronics,vinyl record player,generic,top vinyl record player,top giradischi,top Plattenspieler
q15d6a2688,Electronics,ultrabook,generic,ultrabook rating,valutazione ultrabook,Ultrabook bewertung
qf7c6cc32b,Home & Garden,smart lighting,generic,smart lighting deals,illuminazione smart occasioni,Smarte Beleuchtung schnäppchen
qd21be1443,Apparel & Accessories,compression socks,generic,compression socks review,recensione calze a compressione,Kompressionssocken test
q479405f58,Home & Garden,stand mixer,branded,KitchenAid Artisan 5KSM195 price,KitchenAid Artisan 5KSM195 prezzo,KitchenAid Artisan 5KSM195 preis
q52fa15b74,Electronics,digital camera,generic,buy digital camera online,comprare fotocamera digitale online,Digitalkamera online kaufen
qfe5b2921a,Apparel & Accessories,smartwatch,branded,Apple Watch Ultra 2 price,Apple Watch Ultra 2 prezzo,Apple Watch Ultra 2 preis
qd4cfb830a,Electronics,business laptop,generic,business laptop,laptop business,Business-Laptop
q280b54606,Electronics,DAC amplifier,generic,best DAC amplifier,migliori DAC amplificatore,bestes DAC Verstärker
q5682a9ab3,Home & Garden,electric toothbrush,generic,electric toothbrush online,spazzolino elettrico online,Elektrische Zahnbürste online
