query_id,category_l1,category_l2,query_type,Query_EN,Query_IT,Query_DE
q6ed227080,Electronics,tripod,generic,tripod,treppiede,Stativ
q6b469c3a2,Home & Garden,monitor arm,generic,where to buy monitor arm,dove comprare braccio per monitor,wo Monitorhalterung kaufen
q100782f20,Apparel & Accessories,boots,generic,boots deals,stivali occasioni,Stiefel schnäppchen
q9dba5c2ab,Sporting Goods,stand up paddle,generic,stand up paddle review,recensione stand up paddle,Stand-Up-Paddle test
q9e63da3af,Electronics,streaming device,generic,where to buy streaming device,dove comprare dispositivo streaming,wo Streaming-Gerät kaufen
q6495827a6,Sporting Goods,ski helmet,generic,ski helmet under 500,casco da sci sotto 500 euro,Skihelm unter 500 euro
qef6905764,Home & Garden,food processor,generic,where to buy food processor,dove comprare robot da cucina,wo Küchenmaschine kaufen
qbe38461d0,Electronics,monitor,branded,Dell UltraSharp U2722D review,Dell UltraSharp U2722D recensione,Dell UltraSharp U2722D test
q217fb6a06,Baby & Kids,LEGO,generic,LEGO,LEGO,LEGO
q7074dfb26,Apparel & Accessories,sneakers,generic,compare sneakers,confronta sneakers,Sneaker vergleich
q9d8f779cb,Apparel & Accessories,running shoes,branded,Nike Mercurial Superfly price,Nike Mercurial Superfly prezzo,Nike Mercurial Superfly preis
q222794509,Electronics,vinyl record player,generic,vinyl record player under 100,giradischi sotto 100 euro,Plattenspieler unter 100 euro
q1f1d0ce51,Electronics,laptop,generic,best laptop,migliori laptop,bestes Laptop
qac311591d,Electronics,DSLR camera,generic,DSLR camera specs,specifiche reflex digitale,Spiegelreflexkamera technische daten
q17f8eb5ec,Sporting Goods,kettlebell,generic,kettlebell 2024,kettlebell 2024,Kettlebell 2024
q16306042b,Sporting Goods,ski boots,generic,ski boots online,scarponi da sci online,Skischuhe online
q390d96185,Home & Garden,capsule coffee machine,branded,Nespresso Vertuo Next review,Nespresso Vertuo Next recensione,Nespresso Vertuo Next test
q03adc8751,Electronics,gaming laptop,branded,Acer Predator Helios 300 price,Acer Predator Helios 300 prezzo,Acer Predator Helios 300 preis
q450d1ec2b,Electronics,earbuds,branded,OnePlus Buds 3 review,OnePlus Buds 3 recensione,OnePlus Buds 3 test
qb318f929f,Home & Garden,smart lighting,generic,smart lighting under 500,illuminazione smart sotto 500 euro,Smarte Beleuchtung unter 500 euro
qa594a26d5,Home & Garden,stand mixer,generic,stand mixer specs,specifiche impastatrice,Küchenmaschine technische daten
qe7b850b00,Sporting Goods,sleeping bag,generic,sleeping bag under 100,sacco a pelo sotto 100 euro,Schlafsack unter 100 euro
q3d0868ec3,Electronics,action camera,generic,best value action camera,action camera miglior rapporto qualità prezzo,bestes preis-leistungs Action-Kamera
qe5b5b70a3,Electronics,laptop,branded,HP Spectre x360 review,HP Spectre x360 recensione,HP Spectre x360 test
q07ce91f0a,Sporting Goods,sports nutrition,generic,compare sports nutrition,confronta nutrizione sportiva,Sportnahrung vergleich
qfcc6c93b2,Apparel & Accessories,cycling shoes,generic,cycling shoes under 100,scarpe da ciclismo sotto 100 euro,Radschuhe unter 100 euro
q266f0662a,Electronics,tablet,generic,best value tablet,tablet miglior rapporto qualità prezzo,bestes preis-leistungs Tablet
q9f0480528,Sporting Goods,dumbbell set,generic,dumbbell set rating,valutazione set manubri,Hantelset bewertung
